sku,ean13,categoria,familia,color,control,potencia_w,corriente_a,flujo_lm,angulo,cct,ip,ubicacion,tension_v,medidas_mm,peso_g,garantia_anios,marca,proveedor,linea,precio_ars
RMS-CP222-N-12W-WW,7428325584365,Módulo lineal,Módulo Panal,Negro,Dimeable,12W,0.25A,160,60°,2200K (cálida),20,Interior,DC48V,222.3*25*27.5,137,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CP222-N-12W,7428325585485,Módulo lineal,Módulo Panal,Negro,Smart,12W,0.25A,160,60°,2000-5000K (dinámico),20,Interior,DC48V,222.3*25*27.5,137,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CP330-N-16W-WW,7428325584372,Módulo lineal,Módulo Panal,Negro,Dimeable,16W,0.37A,210,60°,2200K (cálida),20,Interior,DC48V,330*25*27.5,200,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CP330-N-16W,7428325585492,Módulo lineal,Módulo Panal,Negro,Smart,16W,0.37A,210,60°,2000-5000K (dinámico),20,Interior,DC48V,330*25*27.5,200,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CF114-B-6W-WW,7428325584921,Módulo lineal,Módulo Focal,Blanco,Dimeable,6W,1.13A,390,36°,2200K (cálida),20,Interior,DC48V,114.5*25*27.5,77,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CF114-B-6W,7428325585904,Módulo lineal,Módulo Focal,Blanco,Smart,6W,1.13A,390,36°,2000-5000K (dinámico),20,Interior,DC48V,114.5*25*27.5,77,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CF222-B-12W-WW,7428325584938,Módulo lineal,Módulo Focal,Blanco,Dimeable,12W,0.25A,880,36°,2200K (cálida),20,Interior,DC48V,222.3*25*27.5,150,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CF222-B-12W,7428325585911,Módulo lineal,Módulo Focal,Blanco,Smart,12W,0.25A,880,36°,2000-5000K (dinámico),20,Interior,DC48V,222.3*25*27.5,150,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CF330-B-16W-WW,7428325584945,Módulo lineal,Módulo Focal,Blanco,Dimeable,16W,0.37A,1040,36°,2200K (cálida),20,Interior,DC48V,330*25*27.5,220,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CF330-B-16W,7428325585928,Módulo lineal,Módulo Focal,Blanco,Smart,16W,0.37A,1040,36°,2000-5000K (dinámico),20,Interior,DC48V,330*25*27.5,220,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CF114-N-6W-WW,7428325584327,Módulo lineal,Módulo Focal,Negro,Dimeable,6W,1.13A,390,36°,2200K (cálida),20,Interior,DC48V,114.5*25*27.5,77,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CF114-N-6W,7428325585447,Módulo lineal,Módulo Focal,Negro,Smart,6W,1.13A,390,36°,2000-5000K (dinámico),20,Interior,DC48V,114.5*25*27.5,77,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CF222-N-12W-WW,7428325584334,Módulo lineal,Módulo Focal,Negro,Dimeable,12W,0.25A,880,36°,2200K (cálida),20,Interior,DC48V,222.3*25*27.5,150,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CF222-N-12W,7428325585454,Módulo lineal,Módulo Focal,Negro,Smart,12W,0.25A,880,36°,2000-5000K (dinámico),20,Interior,DC48V,222.3*25*27.5,150,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CF330-N-16W-WW,7428325584341,Módulo lineal,Módulo Focal,Negro,Dimeable,16W,0.37A,1040,36°,2200K (cálida),20,Interior,DC48V,330*25*27.5,220,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CF330-N-16W,7428325585461,Módulo lineal,Módulo Focal,Negro,Smart,16W,0.37A,1040,36°,2000-5000K (dinámico),20,Interior,DC48V,330*25*27.5,220,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-MM-B-6W,7428325585393,Cabezal,Cabezal Móvil,Blanco,,6W,,,,,20,Interior,DC48V,114.5*25*48,100,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-MM-B-12W,7428325585409,Cabezal,Cabezal Móvil,Blanco,,12W,,,,,20,Interior,DC48V,222.3*25*48,150,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-MM-N-6W,7428325584792,Cabezal,Cabezal Móvil,Negro,,6W,,,,,20,Interior,DC48V,114.5*25*48,100,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-MM-N-12W,7428325584808,Cabezal,Cabezal Móvil,Negro,,12W,,,,,20,Interior,DC48V,222.3*25*48,150,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-5W-15G-WW,7428325584983,Spot,Spot Móvil Simple,Blanco,Dimeable,5W,0.11A,275,15°,2200K (cálida),20,Interior,DC48V,,98,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-5W-24G-WW,7428325584990,Spot,Spot Móvil Simple,Blanco,Dimeable,5W,0.11A,275,24°,2200K (cálida),20,Interior,DC48V,,98,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-5W-36G-WW,7428325585003,Spot,Spot Móvil Simple,Blanco,Dimeable,5W,0.11A,275,36°,2200K (cálida),20,Interior,DC48V,,98,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CM-B-5W-24G,7428325585973,Spot,Spot Móvil Simple,Blanco,Smart,5W,0.11A,275,24°,2000-5000K (dinámico),20,Interior,DC48V,,98,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-7W-15G-WW,7428325585041,Spot,Spot Móvil Simple,Blanco,Dimeable,7W,0.15A,370,15°,2200K (cálida),20,Interior,DC48V,,160,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
